"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
360;60-69;142;2021-04-16
370;60-69;314;2021-04-16
376;60-69;210;2021-04-16
390;60-69;139;2021-04-16
400;60-69;64;2021-04-16
410;60-69;101;2021-04-16
420;60-69;65;2021-04-16
430;60-69;97;2021-04-16
440;60-69;69;2021-04-16
450;60-69;95;2021-04-16
461;60-69;485;2021-04-16
479;60-69;139;2021-04-16
480;60-69;65;2021-04-16
482;60-69;26;2021-04-16
492;60-69;4;2021-04-16
510;60-69;93;2021-04-16
530;60-69;55;2021-04-16
540;60-69;133;2021-04-16
550;60-69;70;2021-04-16
561;60-69;286;2021-04-16
563;60-69;6;2021-04-16
573;60-69;136;2021-04-16
575;60-69;102;2021-04-16
580;60-69;121;2021-04-16
607;60-69;128;2021-04-16
615;60-69;190;2021-04-16
621;60-69;258;2021-04-16
630;60-69;273;2021-04-16
657;60-69;220;2021-04-16
661;60-69;197;2021-04-16
665;60-69;48;2021-04-16
671;60-69;81;2021-04-16
706;60-69;78;2021-04-16
707;60-69;87;2021-04-16
710;60-69;80;2021-04-16
727;60-69;57;2021-04-16
730;60-69;242;2021-04-16
740;60-69;200;2021-04-16
741;60-69;24;2021-04-16
746;60-69;166;2021-04-16
751;60-69;978;2021-04-16
756;60-69;101;2021-04-16
760;60-69;111;2021-04-16
766;60-69;111;2021-04-16
773;60-69;56;2021-04-16
779;60-69;80;2021-04-16
787;60-69;149;2021-04-16
791;60-69;171;2021-04-16
810;60-69;95;2021-04-16
813;60-69;173;2021-04-16
820;60-69;92;2021-04-16
825;60-69;3;2021-04-16
840;60-69;68;2021-04-16
846;60-69;130;2021-04-16
849;60-69;126;2021-04-16
851;60-69;480;2021-04-16
860;60-69;158;2021-04-16
;70-79;28;2021-04-16
011;70-79;2;2021-04-16
101;70-79;1248;2021-04-16
147;70-79;328;2021-04-16
151;70-79;167;2021-04-16
153;70-79;159;2021-04-16
155;70-79;43;2021-04-16
157;70-79;217;2021-04-16
159;70-79;184;2021-04-16
161;70-79;77;2021-04-16
163;70-79;98;2021-04-16
165;70-79;92;2021-04-16
167;70-79;130;2021-04-16
169;70-79;174;2021-04-16
173;70-79;146;2021-04-16
175;70-79;114;2021-04-16
183;70-79;100;2021-04-16
185;70-79;141;2021-04-16
187;70-79;66;2021-04-16
190;70-79;88;2021-04-16
201;70-79;64;2021-04-16
210;70-79;132;2021-04-16
217;70-79;229;2021-04-16
219;70-79;136;2021-04-16
223;70-79;88;2021-04-16
230;70-79;145;2021-04-16
240;70-79;171;2021-04-16
250;70-79;102;2021-04-16
253;70-79;137;2021-04-16
259;70-79;179;2021-04-16
260;70-79;69;2021-04-16
265;70-79;193;2021-04-16
269;70-79;72;2021-04-16
270;70-79;136;2021-04-16
306;70-79;85;2021-04-16
316;70-79;137;2021-04-16
320;70-79;75;2021-04-16
326;70-79;114;2021-04-16
329;70-79;48;2021-04-16
330;70-79;211;2021-04-16
336;70-79;70;2021-04-16
340;70-79;46;2021-04-16
350;70-79;59;2021-04-16
360;70-79;90;2021-04-16
370;70-79;203;2021-04-16
376;70-79;147;2021-04-16
390;70-79;79;2021-04-16
400;70-79;76;2021-04-16
410;70-79;52;2021-04-16
420;70-79;34;2021-04-16
430;70-79;71;2021-04-16
440;70-79;30;2021-04-16
450;70-79;63;2021-04-16
461;70-79;273;2021-04-16
479;70-79;85;2021-04-16
480;70-79;37;2021-04-16
482;70-79;17;2021-04-16
492;70-79;6;2021-04-16
510;70-79;45;2021-04-16
530;70-79;56;2021-04-16
540;70-79;79;2021-04-16
550;70-79;43;2021-04-16
561;70-79;189;2021-04-16
563;70-79;11;2021-04-16
573;70-79;87;2021-04-16
575;70-79;57;2021-04-16
580;70-79;87;2021-04-16
607;70-79;71;2021-04-16
615;70-79;131;2021-04-16
621;70-79;139;2021-04-16
630;70-79;166;2021-04-16
657;70-79;105;2021-04-16
661;70-79;117;2021-04-16
665;70-79;31;2021-04-16
671;70-79;44;2021-04-16
706;70-79;65;2021-04-16
707;70-79;55;2021-04-16
710;70-79;61;2021-04-16
727;70-79;34;2021-04-16
730;70-79;130;2021-04-16
740;70-79;139;2021-04-16
741;70-79;10;2021-04-16
746;70-79;115;2021-04-16
751;70-79;479;2021-04-16
756;70-79;65;2021-04-16
760;70-79;64;2021-04-16
766;70-79;64;2021-04-16
773;70-79;52;2021-04-16
779;70-79;65;2021-04-16
787;70-79;89;2021-04-16
791;70-79;99;2021-04-16
810;70-79;87;2021-04-16
813;70-79;107;2021-04-16
820;70-79;55;2021-04-16
825;70-79;2;2021-04-16
840;70-79;36;2021-04-16
846;70-79;72;2021-04-16
849;70-79;65;2021-04-16
851;70-79;307;2021-04-16
860;70-79;102;2021-04-16
;80-89;10;2021-04-16
101;80-89;605;2021-04-16
147;80-89;249;2021-04-16
151;80-89;161;2021-04-16
153;80-89;85;2021-04-16
155;80-89;20;2021-04-16
157;80-89;122;2021-04-16
159;80-89;144;2021-04-16
161;80-89;57;2021-04-16
163;80-89;89;2021-04-16
165;80-89;34;2021-04-16
167;80-89;89;2021-04-16
169;80-89;84;2021-04-16
173;80-89;101;2021-04-16
175;80-89;75;2021-04-16
183;80-89;35;2021-04-16
185;80-89;80;2021-04-16
187;80-89;32;2021-04-16
190;80-89;87;2021-04-16
201;80-89;43;2021-04-16
210;80-89;76;2021-04-16
217;80-89;111;2021-04-16
219;80-89;77;2021-04-16
223;80-89;41;2021-04-16
230;80-89;97;2021-04-16
240;80-89;80;2021-04-16
250;80-89;65;2021-04-16
253;80-89;71;2021-04-16
259;80-89;58;2021-04-16
260;80-89;23;2021-04-16
265;80-89;100;2021-04-16
269;80-89;17;2021-04-16
270;80-89;62;2021-04-16
306;80-89;39;2021-04-16
316;80-89;76;2021-04-16
320;80-89;28;2021-04-16
326;80-89;58;2021-04-16
329;80-89;33;2021-04-16
330;80-89;129;2021-04-16
336;80-89;37;2021-04-16
340;80-89;22;2021-04-16
350;80-89;32;2021-04-16
360;80-89;54;2021-04-16
370;80-89;99;2021-04-16
376;80-89;82;2021-04-16
390;80-89;28;2021-04-16
400;80-89;23;2021-04-16
410;80-89;26;2021-04-16
420;80-89;17;2021-04-16
430;80-89;38;2021-04-16
440;80-89;22;2021-04-16
450;80-89;38;2021-04-16
461;80-89;112;2021-04-16
479;80-89;46;2021-04-16
480;80-89;13;2021-04-16
482;80-89;3;2021-04-16
492;80-89;2;2021-04-16
510;80-89;21;2021-04-16
530;80-89;17;2021-04-16
540;80-89;42;2021-04-16
550;80-89;14;2021-04-16
561;80-89;97;2021-04-16
563;80-89;1;2021-04-16
573;80-89;41;2021-04-16
575;80-89;19;2021-04-16
580;80-89;33;2021-04-16
607;80-89;45;2021-04-16
615;80-89;60;2021-04-16
621;80-89;51;2021-04-16
630;80-89;47;2021-04-16
657;80-89;66;2021-04-16
661;80-89;69;2021-04-16
665;80-89;6;2021-04-16
671;80-89;24;2021-04-16
706;80-89;35;2021-04-16
707;80-89;24;2021-04-16
710;80-89;20;2021-04-16
727;80-89;19;2021-04-16
730;80-89;47;2021-04-16
740;80-89;44;2021-04-16
741;80-89;4;2021-04-16
746;80-89;69;2021-04-16
751;80-89;258;2021-04-16
756;80-89;33;2021-04-16
760;80-89;30;2021-04-16
766;80-89;30;2021-04-16
773;80-89;19;2021-04-16
779;80-89;18;2021-04-16
787;80-89;49;2021-04-16
791;80-89;40;2021-04-16
810;80-89;24;2021-04-16
813;80-89;51;2021-04-16
820;80-89;23;2021-04-16
840;80-89;26;2021-04-16
846;80-89;43;2021-04-16
849;80-89;27;2021-04-16
851;80-89;130;2021-04-16
860;80-89;48;2021-04-16
;90+;12;2021-04-16
101;90+;229;2021-04-16
147;90+;113;2021-04-16
151;90+;24;2021-04-16
153;90+;19;2021-04-16
155;90+;7;2021-04-16
157;90+;60;2021-04-16
159;90+;51;2021-04-16
161;90+;26;2021-04-16
163;90+;37;2021-04-16
165;90+;6;2021-04-16
167;90+;22;2021-04-16
169;90+;30;2021-04-16
173;90+;64;2021-04-16
